	date	ranking	season	locality	exposure	day	month	year	cadastr_number	cadastr_letter	A	A-A	B	C	D	E	F	G	H	J	K	Kmax	L	M	Mmax	N	O	notes	event	event_text
11263	06.03.1990	607	89/90	OD	J	6	3	1990	1	A	3		2	7	7	2	3	1	1	1	0.6	NA	100	40	NA	300	2	NA	1	Aval
11264	06.03.1990	608	89/90	OD	J	6	3	1990	2	NA	3		2	7	7	2	3	1	1	1	1	NA	80	80	NA	260	2	NA	1	Aval
11265	06.03.1990	609	89/90	OD	V	6	3	1990	5	NA	3		1	1	7	2	3	1	1	1	1	NA	100	100	NA	300	3	NA	1	Aval
11266	06.03.1990	610	89/90	KJ	JV	6	3	1990	36	NA	3		1	1	7	2	2	1	1	1	1	NA	100	90	NA	400	2	NA	1	Aval
11268	07.03.1990	611	89/90	LD	V	7	3	1990	28	NA	3		1	1	2	2	4	1	1	1	0.8	NA	40	40	NA	250	1	NA	1	Aval
11269	07.03.1990	612	89/90	KJ	JV	7	3	1990	36	B	3		1	1	2	2	2	1	3	1	0.8	NA	35	8	NA	350	1	NA	1	Aval
11270	07.03.1990	613	89/90	KJ	JV	7	3	1990	37	NA	3		1	1	7	2	2	1	1	1	0.8	NA	110	90	NA	400	2	NA	1	Aval
11272	08.03.1990	614	89/90	DD	JZ	8	3	1990	11	NA	3		1	1	7	2	2	1	1	1	0.8	NA	120	100	NA	350	4	NA	1	Aval
11280	15.03.1990	615	89/90	OD	JV	15	3	1990	3	NA	3		1	7	7	2	3	7	1	1	1	NA	100	80	NA	380	3	NA	1	Aval
11281	15.03.1990	616	89/90	KJ	J	15	3	1990	35	NA	3		1	1	7	2	3	1	2	1	1	NA	140	120	NA	400	2	NA	1	Aval
11558	16.12.1990	617	90/91	OD	JV	16	12	1990	6	A	2		1	1	2	1	1	2	2	1	0.3	NA	30	60	NA	380	1	NA	1	Aval
11559	16.12.1990	618	90/91	OD	JV	16	12	1990	6	NA	2		2	7	1	1	1	1	4	1	1	NA	150	150	NA	700	3	NA	1	Aval
11584	09.01.1991	619	90/91	DD	J	9	1	1991	15	NA	2		1	7	7	2	2	7	4	1	0.3	NA	150	70	NA	400	1	NA	1	Aval
11686	20.04.1991	620	90/91	OD	JV	20	4	1991	3	NA	3		2	7	7	7	2	2	4	1	0.3	NA	150	120	NA	500	3	NA	1	Aval
11688	21.04.1991	621	90/91	OD	V	21	4	1991	5	NA	5		2	7	7	7	2	2	2	1	NA	NA	100	100	NA	400	3.5	NA	1	Aval
11689	21.04.1991	622	90/91	KJ	JV	21	4	1991	36	A	5		8	2	2	2	4	2	3	1	NA	NA	40	10	NA	300	1	NA	1	Aval
11690	21.04.1991	623	90/91	KJ	JV	21	4	1991	36	B	5		8	2	2	2	4	2	3	1	NA	NA	30	8	NA	300	1	NA	1	Aval
11692	22.04.1991	624	90/91	OD	V	22	4	1991	4	NA	1		2	7	1	2	2	7	2	1	0.7	NA	130	100	NA	400	3	NA	1	Aval
11904	19.11.1991	625	91/92	KJ	J	19	11	1991	35	NA	3		7	7	7	2	4	7	3	1	0.7	NA	130	120	NA	300	2	NA	1	Aval
11906	20.11.1991	626	91/92	OD	JV	20	11	1991	3	NA	3		2	7	7	2	4	7	2	1	0.3	NA	100	100	NA	400	2	NA	1	Aval
11950	02.01.1992	627	91/92	OD	J	2	1	1992	2	NA	2		1	1	7	2	4	7	1	1	0.4	NA	150	80	NA	500	1.5	NA	1	Aval
11974	25.01.1992	628	91/92	OD	J	25	1	1992	1	A	2		1	1	7	2	4	7	1	1	0.4	NA	150	40	NA	500	3	NA	1	Aval
11989	08.02.1992	629	91/92	LD	SV	8	2	1992	32	NA	3		2	1	7	2	7	1	1	1	1	NA	120	10	NA	200	3	NA	1	Aval
11999	17.02.1992	630	91/92	KJ	JV	17	2	1992	37	NA	3		1	1	7	2	2	1	1	1	0.7	NA	120	100	NA	450	2	NA	1	Aval
12008	25.02.1992	631	91/92	OD	J	25	2	1992	1	A	3		1	1	7	1	4	1	4	1	0.5	NA	140	40	NA	700	2	NA	1	Aval
12009	25.02.1992	632	91/92	OD	J	25	2	1992	1	A	5		1	1	7	1	4	1	4	1	0.8	NA	40	40	NA	500	1	NA	1	Aval
12010	25.02.1992	633	91/92	OD	JV	25	2	1992	3	NA	3		3	1	7	2	4	1	1	1	0.4	NA	130	120	NA	500	2	NA	1	Aval
12011	25.02.1992	634	91/92	DD	J	25	2	1992	15	NA	3		2	1	7	2	2	1	2	1	0.4	NA	100	40	NA	350	2	NA	1	Aval
12022	06.03.1992	635	91/92	DD	JZ	6	3	1992	11	NA	3		1	1	7	2	2	1	1	1	0.8	NA	100	100	NA	400	3	NA	1	Aval
12023	06.03.1992	636	91/92	LD	V	6	3	1992	27	NA	3		1	7	1	2	2	7	2	1	1	NA	120	100	NA	450	2	NA	1	Aval
12025	07.03.1992	637	91/92	KJ	JV	7	3	1992	36	NA	3		2	1	7	2	2	1	1	1	0.8	NA	140	100	NA	450	1.5	NA	1	Aval
12035	16.03.1992	638	91/92	BL	S	16	3	1992	18	A	2		1	1	7	2	2	1	1	1	0.6	NA	80	50	NA	400	3	NA	1	Aval
12036	16.03.1992	639	91/92	BL	SV	16	3	1992	18	NA	3		1	1	1	2	2	1	1	1	0.5	NA	120	90	NA	400	2	NA	1	Aval
12047	26.03.1992	640	91/92	OD	JV	26	3	1992	3	NA	3		2	1	7	2	2	1	1	1	0.8	NA	120	100	NA	500	2	NA	1	Aval
12048	26.03.1992	641	91/92	DD	JZ	26	3	1992	11	NA	3		4	2	7	2	3	2	3	1	4	NA	120	100	NA	800	6	NA	1	Aval
12385	25.02.1993	642	92/93	OD	JV	25	2	1993	3	NA	2		1	1	7	2	2	1	1	1	0.8	NA	140	100	NA	400	2.5	NA	1	Aval
12386	25.02.1993	643	92/93	OD	V	25	2	1993	5	NA	2		1	1	1	2	2	1	1	1	0.8	NA	150	120	NA	200	2	NA	1	Aval
12401	11.03.1993	644	92/93	BL	SV	11	3	1993	18	NA	3		1	1	7	2	4	1	4	1	0.5	NA	150	100	NA	750	7	NA	1	Aval
12403	12.03.1993	645	92/93	BL	S	12	3	1993	20	NA	2		1	1	1	1	2	1	1	1	0.3	NA	130	100	NA	140	3	NA	1	Aval
12407	15.03.1993	646	92/93	OD	J	15	3	1993	2	NA	2		1	1	7	2	2	1	2	1	0.8	NA	120	80	NA	500	2	NA	1	Aval
12408	15.03.1993	647	92/93	OD	JV	15	3	1993	3	NA	5		7	1	7	2	2	1	1	1	1	NA	100	100	NA	400	2.5	NA	1	Aval
12712	12.01.1994	648	93/94	BL	S	12	1	1994	18	A	2		1	2	7	2	3	2	1	1	1	NA	50	40	NA	450	4	NA	1	Aval
12725	24.01.1994	649	93/94	BL	SV	24	1	1994	18	NA	2		1	7	1	2	3	7	1	1	1	NA	80	50	NA	300	3	NA	1	Aval
12728	26.01.1994	650	93/94	OD	J	26	1	1994	1	A	2		1	7	7	2	3	7	1	1	1.5	NA	200	150	NA	800	3	sjela až na konec dráhy	1	Aval
12729	26.01.1994	651	93/94	BL	S	26	1	1994	19	A	2		1	7	1	2	2	7	1	1	0.5	NA	80	50	NA	250	1.5	NA	1	Aval
12765	02.03.1994	652	93/94	DD	SV	30	2	1994	16	NA	2		1	7	2	2	3	7	1	1	0.5	NA	40	30	NA	200	2	NA	1	Aval
12797	02.04.1994	653	93/94	LD	SV	2	4	1994	33	NA	2		4	2	1	2	3	2	3	1	1.5	NA	100	40	NA	250	3	NA	1	Aval
12801	05.04.1994	654	93/94	LD	SV	5	4	1994	33	NA	2		4	2	1	2	3	2	3	1	1.5	NA	120	80	NA	400	4	NA	1	Aval
12813	16.04.1994	655	93/94	DD	J	16	4	1994	14	NA	2		2	2	2	2	3	2	2	1	1	NA	50	50	NA	450	2	NA	1	Aval
13089	16.01.1995	656	94/95	OD	JV	16	1	1995	3	NA	5		2	2	7	2	4	1	1	1	NA	NA	150	100	NA	300	2.5	NA	1	Aval
13090	16.01.1995	657	94/95	DD	J	16	1	1995	15	NA	6		2	1	7	1	4	1	4	1	NA	NA	170	40	NA	800	4	NA	1	Aval
13091	16.01.1995	658	94/95	LD	V	16	1	1995	28	NA	2		1	7	2	2	7	1	1	1	0.4	NA	30	15	NA	150	1	NA	1	Aval
13097	21.01.1995	659	94/95	DD	SZ	21	1	1995	17	NA	2		1	7	2	2	3	7	1	1	0.3	NA	50	20	NA	200	1	NA	1	Aval
13128	20.02.1995	660	94/95	BL	SV	20	2	1995	18	NA	2		1	2	7	2	3	2	1	1	0.7	NA	50	50	NA	700	2	NA	1	Aval
13155	18.03.1995	661	94/95	OD	J	18	3	1995	2	NA	3		2	1	7	2	2	2	1	1	0.7	NA	50	50	NA	300	2	NA	1	Aval
13159	21.03.1995	662	94/95	DD	SV	21	3	1995	16	NA	1		2	1	2	2	2	1	1	1	0.3	NA	50	30	NA	200	1	NA	1	Aval
13161	22.03.1995	663	94/95	BL	SV	22	3	1995	18	NA	5		1	7	7	2	3	1	1	1	NA	NA	50	50	NA	450	2	NA	1	Aval
13170	30.03.1995	664	94/95	KJ	JV	30	3	1995	36	NA	5		1	7	7	2	3	7	1	1	0.8	NA	120	100	NA	450	2	NA	1	Aval
13177	05.04.1995	665	94/95	OD	JV	5	4	1995	3	NA	2		2	2	7	2	7	2	1	1	1.2	NA	150	120	NA	600	2	NA	1	Aval
13188	15.04.1995	666	94/95	DD	JZ	15	4	1995	11	NA	2		1	7	7	2	2	7	2	1	0.8	NA	120	50	NA	450	3	NA	1	Aval
13190	16.04.1995	667	94/95	OD	JV	16	4	1995	3	NA	5		2	2	7	2	4	2	1	1	1	NA	80	80	NA	80	NA	NA	1	Aval
13191	16.04.1995	668	94/95	OD	V	16	4	1995	4	NA	5		1	2	1	2	1	2	1	1	4	NA	80	50	NA	500	3	NA	1	Aval
13192	16.04.1995	669	94/95	DD	JZ	16	4	1995	12	NA	2		2	2	7	2	3	2	4	1	1	NA	200	25	NA	980	3	NA	1	Aval
13193	16.04.1995	670	94/95	DD	JZ	16	4	1995	13	NA	2		2	2	7	2	3	2	2	1	0.7	NA	170	30	NA	800	3	NA	1	Aval
13194	16.04.1995	671	94/95	KJ	JV	16	4	1995	37	NA	5		1	7	7	2	2	7	1	1	0.7	NA	100	70	NA	700	1	NA	1	Aval
13199	20.04.1995	672	94/95	BL	SV	20	4	1995	18	NA	1		1	2	7	2	2	2	1	1	0.8	NA	100	100	NA	450	2.5	NA	1	Aval
13202	22.04.1995	673	94/95	OD	V	22	4	1995	4	NA	5		8	2	1	2	3	2	4	1	1.5	NA	120	100	NA	600	2.5	NA	1	Aval
13203	22.04.1995	674	94/95	OD	V	22	4	1995	5	NA	6		8	2	1	2	3	2	1	1	1.5	NA	100	180	NA	800	3	NA	1	Aval
13205	23.04.1995	675	94/95	KJ	J	23	4	1995	35	NA	5		7	2	1	2	3	2	3	1	NA	NA	100	100	NA	400	2	NA	1	Aval
13206	23.04.1995	676	94/95	KJ	JV	23	4	1995	36	B	5		1	2	2	2	2	2	2	1	NA	NA	50	20	NA	400	1	NA	1	Aval
13207	23.04.1995	677	94/95	KJ	JV	23	4	1995	36	NA	5		1	2	7	2	3	2	3	1	NA	NA	140	100	NA	300	2	NA	1	Aval
13407	08.11.1995	678	95/96	KJ	V	8	11	1995	37	A	2		4	1	7	1	4	1	2	1	0.3	NA	20	20	NA	200	1	NA	1	Aval
13415	15.11.1995	679	95/96	DD	JZ	15	11	1995	13	NA	2		1	2	2	2	2	2	2	1	0.2	NA	15	20	NA	250	1	NA	1	Aval
13456	25.12.1995	680	95/96	MD	J	25	12	1995	8	NA	2		1	1	1	2	2	1	1	1	0.5	NA	50	50	NA	280	1	NA	1	Aval
13513	19.02.1996	681	95/96	BL	S	19	2	1996	18	A	3		2	1	7	2	2	1	1	1	0.8	NA	100	40	NA	600	2.5	NA	1	Aval
13514	19.02.1996	682	95/96	BL	SV	19	2	1996	18	NA	5		1	1	7	2	2	1	1	1	1	NA	150	80	NA	700	2.5	NA	1	Aval
13533	08.03.1996	683	95/96	DD	J	8	3	1996	10	NA	2		1	2	2	2	2	2	1	1	0.5	NA	30	15	NA	300	2.5	NA	1	Aval
13535	09.03.1996	684	95/96	KJ	J	9	3	1996	35	NA	2		1	2	2	2	3	2	1	1	1	NA	50	50	NA	200	3	NA	1	Aval
13536	09.03.1996	685	95/96	KJ	JV	9	3	1996	36	NA	2		1	2	7	2	3	2	1	1	1	NA	80	80	NA	400	2.5	NA	1	Aval
13542	14.03.1996	686	95/96	DD	JZ	14	3	1996	11	NA	2		1	1	7	2	3	1	1	1	0.8	NA	150	80	NA	400	2	NA	1	Aval
13543	14.03.1996	687	95/96	BL	SV	14	3	1996	18	NA	5		1	2	1	7	2	2	1	1	0.5	NA	50	50	NA	400	1	NA	1	Aval
13554	24.03.1996	688	95/96	OD	JV	24	3	1996	3	NA	3		1	1	7	1	2	1	4	1	1.5	NA	200	100	NA	1000	1	NA	1	Aval
13557	26.03.1996	689	95/96	OD	J	26	3	1996	2	NA	3		1	1	7	1	2	1	4	1	1	NA	100	50	NA	650	1	NA	1	Aval
13577	14.04.1996	690	95/96	OD	J	14	4	1996	2	NA	3		1	1	7	2	2	1	4	1	0.3	NA	30	30	NA	300	1	NA	1	Aval
13579	15.04.1996	691	95/96	DD	JZ	15	4	1996	12	NA	3		1	1	7	2	2	1	4	1	1	NA	150	40	NA	900	2	NA	1	Aval
13580	15.04.1996	692	95/96	DD	JZ	15	4	1996	13	NA	3		1	1	7	2	2	1	1	1	1	NA	50	40	NA	250	2	NA	1	Aval
13894	22.02.1997	693	96/97	OD	V	22	2	1997	5	NA	3		1	1	7	2	4	1	1	1	0.7	NA	80	50	NA	400	1	NA	1	Aval
13898	25.02.1997	694	96/97	OD	JV	25	2	1997	3	NA	5		2	7	7	2	3	7	3	1	1	NA	100	80	NA	400	1	NA	1	Aval
13899	25.02.1997	695	96/97	OD	V	25	2	1997	4	NA	5		2	7	7	2	3	7	1	1	0.8	NA	80	50	NA	450	2	NA	1	Aval
13952	18.04.1997	696	96/97	KJ	JV	18	4	1997	36	NA	3		7	1	7	2	2	1	3	1	0.6	NA	60	50	NA	350	2	NA	1	Aval
13954	19.04.1997	697	96/97	KJ	JV	19	4	1997	36	A	5		1	1	2	2	2	1	3	1	0.5	NA	60	20	NA	400	1	NA	1	Aval
13956	20.04.1997	698	96/97	OD	JV	20	4	1997	3	NA	3		1	7	7	2	3	7	3	1	0.8	NA	80	100	NA	450	1	NA	1	Aval
13957	20.04.1997	699	96/97	OD	V	20	4	1997	4	NA	5		2	7	7	2	3	7	1	1	0.9	NA	70	70	NA	400	2	NA	1	Aval
13959	21.04.1997	700	96/97	DD	JZ	21	4	1997	11	NA	3		2	1	7	2	4	7	1	1	1	NA	90	80	NA	380	3	NA	1	Aval
14236	22.01.1998	701	97/98	OD	V	22	1	1998	5	NA	2		1	1	1	2	2	1	1	1	0.3	NA	100	70	NA	200	1	NA	1	Aval
14250	04.02.1998	702	97/98	OD	J	4	2	1998	2	NA	3		1	1	7	2	4	1	1	1	0.4	NA	80	25	NA	300	1	NA	1	Aval
14559	09.12.1998	703	98/99	OD	V	9	12	1998	5	NA	3		1	1	7	2	4	1	1	1	0.5	NA	100	50	NA	350	2	lavina malého rozměru	1	Aval
14561	10.12.1998	704	98/99	OD	J	10	12	1998	2	NA	2		1	1	7	1	4	1	1	1	0.6	NA	80	50	NA	400	1.5	sjela do porostu	1	Aval
14562	10.12.1998	705	98/99	OD	J	10	12	1998	2	NA	2		1	1	7	1	4	1	1	1	0.6	NA	80	50	NA	400	1.5	NA	1	Aval
14595	11.01.1999	706	98/99	KJ	JV	11	1	1999	37	NA	4		1	1	7	2	7	1	1	1	0.8	NA	50	85	NA	350	1.5	zastavila se nad cestou	1	Aval
14626	10.02.1999	707	98/99	KJ	JV	10	2	1999	37	NA	3		2	1	2	2	4	1	1	1	1	NA	50	50	NA	300	1.8	NA	1	Aval
14628	11.02.1999	708	98/99	DD	SZ	11	2	1999	17	NA	2		1	1	7	2	7	1	1	1	0.5	NA	40	30	NA	300	1.8	zastavila se uprostřed svahu	1	Aval
14642	24.02.1999	709	98/99	OD	JV	24	2	1999	3	NA	3		2	1	7	2	4	1	1	1	1	NA	200	80	NA	600	2	sjela při vyjasnění v 10:15 v mé přítomnosti	1	Aval
14643	24.02.1999	710	98/99	OD	V	24	2	1999	5	NA	3		2	1	7	2	7	1	1	1	0.8	NA	250	70	NA	450	2.5	NA	1	Aval
14644	24.02.1999	711	98/99	OD	JV	24	2	1999	7	NA	3		2	1	7	1	4	1	1	1	1	NA	200	120	NA	850	1	lavina ve spodní části polámala porost	1	Aval
14645	24.02.1999	712	98/99	KJ	JV	24	2	1999	37	NA	6		1	1	1	2	4	1	1	1	1	NA	150	100	NA	600	1.5	sjela 100 metrů pod cestu a vylámala tyčové značení	1	Aval
14647	25.02.1999	713	98/99	DD	JZ	25	2	1999	11	NA	3		1	1	7	2	4	1	1	1	0.5	NA	50	50	NA	300	2	malý odtrh	1	Aval
14648	25.02.1999	714	98/99	BL	JV	25	2	1999	23	NA	2		2	1	1	1	2	2	1	1	0.7	NA	80	80	NA	200	1.5	sjela při vyjasnění v 10:15	1	Aval
14649	25.02.1999	715	98/99	LH	SV	25	2	1999	38	NA	4		1	1	7	2	7	1	1	1	0.7	NA	20	40	NA	250	2	sjela až do lesa	1	Aval
14652	27.02.1999	716	98/99	OD	V	27	2	1999	4	NA	6		7	7	1	2	1	7	3	1	2	NA	70	50	NA	400	4	NA	1	Aval
14656	02.03.1999	717	98/99	OD	JV	2	3	1999	3	NA	5		8	7	7	2	3	7	1	1	4	NA	150	80	NA	400	2.5	NA	1	Aval
14658	03.03.1999	718	98/99	OD	V	3	3	1999	4	NA	5		8	7	7	2	3	7	1	1	4.5	NA	200	80	NA	500	3	NA	1	Aval
14659	03.03.1999	719	98/99	LD	V	3	3	1999	28	NA	5		8	7	7	2	3	7	1	1	3.5	NA	80	50	NA	350	2.5	NA	1	Aval
14660	03.03.1999	720	98/99	LD	V	3	3	1999	29	NA	5		8	7	1	2	1	7	4	1	0.5	NA	200	200	NA	400	3	NA	1	Aval
14661	03.03.1999	721	98/99	LD	V	3	3	1999	30	NA	5		8	7	2	2	3	7	4	1	3.5	NA	70	60	NA	450	3	NA	1	Aval
14662	03.03.1999	722	98/99	LD	SV	3	3	1999	31	NA	5		8	7	1	2	3	7	4	1	3	NA	100	100	NA	300	3	NA	1	Aval
14664	04.03.1999	723	98/99	LD	SV	4	3	1999	33	NA	2		7	2	1	2	3	2	1	1	0.8	NA	20	50	NA	200	2	NA	1	Aval
14666	05.03.1999	724	98/99	LD	SV	5	3	1999	32	NA	5		1	7	7	2	2	7	1	1	1	NA	100	80	NA	300	2.5	NA	1	Aval
14687	25.03.1999	725	98/99	OD	JV	25	3	1999	3	NA	3	5	3	7	7	2	1	7	4	1	2	4	320	150	NA	850	5	v laviništi bylo 66.000 tun sněhu	1	Aval
14689	26.03.1999	726	98/99	OD	V	26	3	1999	4	NA	5		7	2	1	2	1	2	2	1	2	NA	80	80	NA	400	3	NA	1	Aval
14692	28.03.1999	727	98/99	OD	JV	28	3	1999	6	NA	1		1	7	1	2	2	2	1	1	0.7	NA	40	40	NA	200	1.5	NA	1	Aval
14694	29.03.1999	728	98/99	OD	V	29	3	1999	4	NA	5		1	2	1	2	3	2	2	1	2	NA	80	80	NA	300	2	NA	1	Aval
14695	29.03.1999	729	98/99	LD	JV	29	3	1999	26	NA	5		7	2	7	2	7	2	2	1	1.5	NA	100	80	NA	350	2.5	NA	1	Aval
14696	29.03.1999	730	98/99	KJ	JV	29	3	1999	36	A	5		1	2	2	2	3	2	2	1	1	NA	50	50	NA	400	2	NA	1	Aval
14697	29.03.1999	731	98/99	KJ	JV	29	3	1999	37	NA	5		4	2	1	2	7	2	4	1	1.5	NA	130	100	NA	400	2	NA	1	Aval
14699	30.03.1999	732	98/99	OD	V	30	3	1999	5	NA	5		1	2	7	2	7	2	1	1	1	NA	80	70	NA	350	2.5	NA	1	Aval
14705	04.04.1999	733	98/99	OD	JV	4	4	1999	7	NA	2		4	2	7	2	7	2	2	1	4	NA	250	100	NA	800	6	vyjela za velkého oteplení. Váha sněhu 47250 tun	1	Aval
14706	04.04.1999	734	98/99	LD	V	4	4	1999	27	NA	2	5	1	2	7	2	3	1	1	1	1	NA	30	30	NA	200	3	NA	1	Aval
14712	09.04.1999	735	98/99	OD	JV	9	4	1999	3	NA	6		4	2	7	2	7	2	3	1	4	NA	60	60	NA	400	4.5	podmáčený terén rychlým táním a deštěm	1	Aval
15001	22.01.2000	736	99/00	BL	SV	22	1	2000	18	NA	3		1	1	7	2	2	1	1	1	1	NA	120	100	NA	560	4	vyjela pravá strana, lavina sjela do Labe.	1	Aval
15002	22.01.2000	737	99/00	LD	JZ	22	1	2000	25	NA	3		1	1	2	7	4	1	1	1	0.6	NA	80	30	NA	450	2	lavina sjela až do Labe	1	Aval
15003	22.01.2000	738	99/00	LD	V	22	1	2000	27	NA	3	5	1	1	1	7	2	1	4	1	1.2	NA	100	100	NA	700	1.5	lavina vylámala spodek až do Labe	1	Aval
15004	22.01.2000	739	99/00	LD	V	22	1	2000	28	NA	3	5	1	1	7	7	4	1	1	1	1.5	NA	50	70	NA	600	1.5	ve spodní části se lavina rozjela do stran	1	Aval
15006	23.01.2000	740	99/00	OD	J	23	1	2000	2	NA	2		1	1	7	2	4	1	4	1	0.8	NA	120	100	NA	800	0.6	ve spodní části vylámala porost	1	Aval
15007	23.01.2000	741	99/00	OD	JV	23	1	2000	3	NA	3	5	2	1	7	1	4	1	4	1	1.8	NA	180	150	NA	960	1	vylámala vše, co bylo v dráze až k vodopádu	1	Aval
15008	23.01.2000	742	99/00	OD	V	23	1	2000	4	NA	3	5	2	1	7	2	2	1	2	1	1.6	NA	200	200	NA	550	1.5	NA	1	Aval
15009	23.01.2000	743	99/00	OD	V	23	1	2000	5	NA	3	5	1	2	7	1	4	1	4	1	1	NA	270	100	NA	1000	1	vyjela do protisvahu uprostřed dráhy	1	Aval
15010	23.01.2000	744	99/00	OD	JV	23	1	2000	7	NA	3	5	2	1	7	1	4	1	4	1	1	NA	150	80	NA	700	0.8	NA	1	Aval
15011	23.01.2000	745	99/00	DD	JZ	23	1	2000	11	NA	3		1	1	7	7	4	1	4	1	1	3.5	250	100	NA	1250	2	lavina smetla porost, sjela po turistické cestě 150 m	1	Aval
15012	23.01.2000	746	99/00	LD	JV	23	1	2000	26	NA	3		1	1	2	7	4	1	1	1	1	NA	100	50	NA	400	2.5	NA	1	Aval
15013	23.01.2000	747	99/00	LD	V	23	1	2000	29	NA	3	5	1	1	1	2	4	1	2	1	0.8	NA	200	200	NA	450	0.8	NA	1	Aval
15014	23.01.2000	748	99/00	LD	V	23	1	2000	30	NA	3		1	1	7	1	4	1	2	1	1	NA	100	100	NA	500	1	NA	1	Aval
15015	23.01.2000	749	99/00	KJ	JV	23	1	2000	37	NA	3	5	1	1	1	7	4	1	1	1	0.8	NA	150	100	NA	800	0.8	lavina projela 50 metrů pod cestu	1	Aval
15017	24.01.2000	750	99/00	KJ	J	24	1	2000	35	NA	3		1	1	7	7	2	1	1	1	0.8	NA	150	100	NA	600	0.8	vyjela levá strana plotny	1	Aval
15018	24.01.2000	751	99/00	KJ	JV	24	1	2000	36	A	3	5	2	1	2	7	2	1	2	1	0.8	NA	80	40	NA	450	1	NA	1	Aval
15019	24.01.2000	752	99/00	KJ	JV	24	1	2000	36	B	3	5	2	1	2	7	2	1	2	1	0.8	NA	80	40	NA	450	1	NA	1	Aval
15020	24.01.2000	753	99/00	KJ	JV	24	1	2000	36	NA	3	5	1	1	7	2	2	1	1	1	1	NA	100	80	NA	400	1.5	NA	1	Aval
15021	24.01.2000	754	99/00	KJ	V	24	1	2000	37	A	3		1	1	1	2	4	1	1	1	0.8	NA	140	140	NA	300	1	NA	1	Aval
15036	07.02.2000	755	99/00	BL	S	7	2	2000	19	A	3		8	7	1	2	3	7	1	1	1	NA	80	80	NA	400	1.5	za teplého počasí	1	Aval
15039	09.02.2000	756	99/00	BL	SV	9	2	2000	18	NA	3		8	7	1	2	3	7	1	1	0.8	NA	100	100	NA	560	3	lavina zaplnila Labe	1	Aval
15068	08.03.2000	757	99/00	LD	SV	8	3	2000	32	NA	3		3	2	7	2	3	2	4	1	1.4	NA	100	100	NA	350	2.5	vše zůstává na Assmanově plošině	1	Aval
15070	09.03.2000	758	99/00	OD	JV	9	3	2000	3	NA	2	5	8	2	7	2	3	2	4	1	1.7	NA	200	100	NA	800	4	NA	1	Aval
15071	09.03.2000	759	99/00	OD	V	9	3	2000	4	NA	4	5	8	2	7	2	3	2	3	1	3	NA	300	100	NA	600	3.5	NA	1	Aval
15072	09.03.2000	760	99/00	OD	V	9	3	2000	5	NA	4		8	2	7	2	3	2	4	1	3	NA	300	100	NA	900	4.5	pád po velkém dešti - č. 3, 4, 5	1	Aval
15073	09.03.2000	761	99/00	OD	JV	9	3	2000	7	NA	4		8	2	2	2	1	2	4	1	0.8	NA	100	70	NA	400	2.5	vyjel i levý kotlík laviny 2x po dešti	1	Aval
15074	09.03.2000	762	99/00	LD	V	9	3	2000	28	NA	6	5	3	2	7	2	7	2	2	1	1	NA	100	100	NA	400	2	NA	1	Aval
15075	09.03.2000	763	99/00	LD	V	9	3	2000	29	NA	6	5	3	2	1	2	3	2	2	1	0.8	NA	150	150	NA	400	2	NA	1	Aval
15076	09.03.2000	764	99/00	KJ	JV	9	3	2000	37	NA	6	5	8	2	7	2	3	2	4	1	1	NA	150	100	NA	500	3	lavina sjela do cesty, velké deště tři dny	1	Aval
15078	10.03.2000	765	99/00	KJ	JV	10	3	2000	36	NA	4	5	8	2	7	2	7	2	4	1	1	NA	120	80	NA	400	2	NA	1	Aval
15088	19.03.2000	766	99/00	OD	JV	19	3	2000	3	NA	2		1	1	7	2	4	1	1	1	1	NA	180	100	NA	450	2.5	lavina se utrhla 3 m pod převějí	1	Aval
15089	19.03.2000	767	99/00	OD	V	19	3	2000	4	NA	3	2	1	1	1	2	4	1	1	1	0.6	NA	200	200	NA	300	2	NA	1	Aval
15090	19.03.2000	768	99/00	DD	JZ	19	3	2000	11	NA	3		1	1	7	2	4	1	1	1	0.6	NA	140	50	NA	400	2	NA	1	Aval
15092	20.03.2000	769	99/00	BL	JV	20	3	2000	21	NA	3		1	1	1	2	4	1	1	1	0.4	NA	80	80	NA	130	1.5	NA	1	Aval
15093	20.03.2000	770	99/00	BL	JV	20	3	2000	23	NA	3		1	1	1	2	4	1	1	1	0.4	NA	70	70	NA	100	1	NA	1	Aval
15094	20.03.2000	771	99/00	LD	SV	20	3	2000	32	NA	3	5	1	1	1	2	4	1	1	1	0.5	NA	100	100	NA	200	1	vypadnutí převisu ve stěně	1	Aval
15111	05.04.2000	772	99/00	KJ	JV	5	4	2000	36	NA	1	5	3	2	7	2	2	2	2	1	0.5	NA	50	50	NA	350	1	pád převěje	1	Aval
15113	06.04.2000	773	99/00	OD	V	6	4	2000	5	NA	6	5	3	2	7	2	2	2	2	1	1	NA	100	80	NA	350	1	NA	1	Aval
15115	07.04.2000	774	99/00	OD	JV	7	4	2000	3	NA	6	5	7	2	7	2	2	2	2	1	2	NA	50	50	NA	450	1.5	výpadek převěje na pravé straně	1	Aval
15124	15.04.2000	775	99/00	OD	V	15	4	2000	5	NA	6		3	2	7	2	2	2	2	1	2	NA	30	30	NA	300	1	výpadek převěje uprostřed	1	Aval
15373	19.12.2000	776	00/01	OD	JV	19	12	2000	3	NA	2		2	7	7	2	4	7	2	1	0.3	NA	80	50	NA	400	1	lavina sjela po travnatém podkladu	1	Aval
